epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
114,30.8386,2.60773,1.16629,0.88782,0.56695,0.54637,0.52884,0.21202,2.41927,1.17924,0.93496,0.0008813,0.0008813,0.0008813
115,31.0338,2.37192,1.09797,0.88411,0.56695,0.54637,0.52884,0.21202,2.41927,1.17924,0.93496,0.0008714,0.0008714,0.0008714
116,31.2449,2.35982,1.0806,0.88851,0.5535,0.48229,0.48147,0.1785,2.59856,1.17955,0.96339,0.0008615,0.0008615,0.0008615
117,31.4233,2.09565,1.02646,0.92206,0.5535,0.48229,0.48147,0.1785,2.59856,1.17955,0.96339,0.0008516,0.0008516,0.0008516
118,31.6099,2.14399,1.02987,0.90735,0.5535,0.48229,0.48147,0.1785,2.59856,1.17955,0.96339,0.0008417,0.0008417,0.0008417
119,31.8444,2.37521,1.07428,0.89151,0.5535,0.48229,0.48147,0.1785,2.59856,1.17955,0.96339,0.0008318,0.0008318,0.0008318
120,32.0707,2.4699,1.126,0.88233,0.54636,0.52401,0.49792,0.18003,2.61519,1.16645,0.96202,0.0008219,0.0008219,0.0008219
121,32.2843,3.10702,1.22541,0.87357,0.54636,0.52401,0.49792,0.18003,2.61519,1.16645,0.96202,0.000812,0.000812,0.000812
122,32.4904,2.52432,1.10147,0.86343,0.54636,0.52401,0.49792,0.18003,2.61519,1.16645,0.96202,0.0008021,0.0008021,0.0008021
123,32.686,2.29207,1.04214,0.88003,0.54636,0.52401,0.49792,0.18003,2.61519,1.16645,0.96202,0.0007922,0.0007922,0.0007922
124,32.9039,3.56613,1.40863,0.8767,0.59165,0.57167,0.55811,0.21677,2.41313,1.14021,0.92834,0.0007823,0.0007823,0.0007823
125,33.1219,2.99767,1.1944,0.85847,0.59165,0.57167,0.55811,0.21677,2.41313,1.14021,0.92834,0.0007724,0.0007724,0.0007724
126,33.32,2.42072,1.11926,0.87533,0.59165,0.57167,0.55811,0.21677,2.41313,1.14021,0.92834,0.0007625,0.0007625,0.0007625
127,33.5269,2.54234,1.12483,0.87646,0.59165,0.57167,0.55811,0.21677,2.41313,1.14021,0.92834,0.0007526,0.0007526,0.0007526
128,33.7231,2.11654,1.07341,0.9596,0.61087,0.65093,0.61673,0.24992,2.26645,1.09802,0.90601,0.0007427,0.0007427,0.0007427
129,33.9433,2.16536,1.00494,0.86632,0.61087,0.65093,0.61673,0.24992,2.26645,1.09802,0.90601,0.0007328,0.0007328,0.0007328
